10000,1253.052002,4,1,10000
10000,1211.516968,4,1,10000
10000,1211.999023,4,1,10000
10000,1215.276978,4,1,10000
10000,1213.451050,4,1,10000
10000,1210.579956,4,1,10000
50000,1219.961060,4,1,50000
50000,1219.604004,4,1,50000
50000,1219.227051,4,1,50000
50000,1215.906006,4,1,50000
50000,1220.824951,4,1,50000
50000,1215.824951,4,1,50000
100000,1204.277954,4,1,100000
100000,1212.692017,4,1,100000
100000,1205.644043,4,1,100000
100000,1211.911011,4,1,100000
100000,1208.830078,4,1,100000
100000,1211.901001,4,1,100000
200000,1209.209961,4,1,200000
200000,1200.284058,4,1,200000
200000,1213.175049,4,1,200000
200000,1210.758057,4,1,200000
200000,1207.795044,4,1,200000
200000,1207.574951,4,1,200000
300000,1216.544067,4,1,300000
300000,1209.109009,4,1,300000
300000,1207.491943,4,1,300000
300000,1208.358032,4,1,300000
300000,1203.365967,4,1,300000
300000,1203.897949,4,1,300000
400000,1209.742065,4,1,400000
400000,1210.797974,4,1,400000
400000,1203.061035,4,1,400000
400000,1204.087036,4,1,400000
400000,1211.102051,4,1,400000
400000,1216.432983,4,1,400000
500000,1211.422974,4,1,500000
500000,1221.057007,4,1,500000
500000,1221.161011,4,1,500000
500000,1209.695068,4,1,500000
500000,1218.605957,4,1,500000
500000,1214.760010,4,1,500000
10000,2303.052002,4,2,5000
10000,2304.280029,4,2,5000
10000,2297.961914,4,2,5000
10000,2294.596924,4,2,5000
10000,2299.792969,4,2,5000
10000,2307.775879,4,2,5000
50000,2314.020020,4,2,25000
50000,3134.956055,4,2,25000
50000,2322.959961,4,2,25000
50000,2313.214111,4,2,25000
50000,2322.635010,4,2,25000
50000,2325.263916,4,2,25000
100000,2302.020996,4,2,50000
100000,2300.083008,4,2,50000
100000,2301.216064,4,2,50000
100000,2306.649902,4,2,50000
100000,2324.218018,4,2,50000
100000,2309.371094,4,2,50000
200000,2319.325928,4,2,100000
200000,2301.467041,4,2,100000
200000,2315.487061,4,2,100000
200000,2318.934082,4,2,100000
200000,2333.196045,4,2,100000
200000,2319.738037,4,2,100000
300000,2309.861084,4,2,150000
300000,2323.070068,4,2,150000
300000,2320.531982,4,2,150000
300000,2321.562012,4,2,150000
300000,2307.208008,4,2,150000
300000,2312.894043,4,2,150000
400000,2316.789062,4,2,200000
400000,2301.841064,4,2,200000
400000,2311.968994,4,2,200000
