1.000000000000000000e+04,1.898386840666666785e+03
5.000000000000000000e+04,2.086744994999999562e+03
1.000000000000000000e+05,2.103137980166666694e+03
2.000000000000000000e+05,2.114498779499999728e+03
3.000000000000000000e+05,1.304476673333333281e+02
4.000000000000000000e+05,1.347901635000000056e+02
5.000000000000000000e+05,1.329309973333333517e+02
6.000000000000000000e+05,1.317636693333333540e+02
7.000000000000000000e+05,1.389866664999999841e+02
8.000000000000000000e+05,1.397349979999999903e+02
9.000000000000000000e+05,1.446656673333333458e+02
1.000000000000000000e+06,1.441435013333333188e+02
2.000000000000000000e+06,1.584468306666666706e+02
3.000000000000000000e+06,1.680941646666666713e+02
4.000000000000000000e+06,1.844601644999999905e+02
5.000000000000000000e+06,2.061853358333333119e+02
